year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2001.0,6.2,317000.0,183.0,19.0,50.0,90.0,82822.56,8.0,74591008.15,140000000.0,145508580.85,449220945.0
2001.0,7.6,273000.0,110.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,21000000.0,44331874.3,71444482.0
2001.0,8.3,717000.0,122.0,17.0,50.0,100.0,82822.56,6.0,74591008.15,10000000.0,44331874.3,173997108.0
2001.0,7.7,403000.0,122.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,45000000.0,39401196.17,104876233.0
2001.0,7.2,295000.0,146.0,15.0,90.0,90.0,428702.7,8.0,285545745.11,100000000.0,38930959.49,235926552.0
2001.0,7.3,115000.0,111.0,17.0,60.0,90.0,102137.26,6.0,87793911.98,7000000.0,44331874.3,8764007.0
2001.0,7.1,98000.0,100.0,17.0,50.0,80.0,82822.56,6.0,74591008.15,3000000.0,44331874.3,23182223.0
2001.0,6.9,176000.0,132.0,19.0,50.0,100.0,82822.56,8.0,74591008.15,65000000.0,145508580.85,117487473.0
2001.0,6.8,261000.0,131.0,13.0,80.0,90.0,236700.88,6.0,191060303.56,87000000.0,39401196.17,351692268.0
2001.0,6.4,133000.0,111.0,17.0,60.0,90.0,102137.26,9.0,87793911.98,26000000.0,44331874.3,165335153.0
2001.0,7.6,271000.0,127.0,15.0,60.0,80.0,102137.26,8.0,87793911.98,50000000.0,38930959.49,184935320.0
2001.0,6.9,253000.0,136.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,68000000.0,38709328.72,203388341.0
2001.0,5.6,81000.0,91.0,13.0,50.0,80.0,82822.56,6.0,74591008.15,42000000.0,38709328.72,68467960.0
2001.0,5.7,213000.0,119.0,19.0,70.0,90.0,149101.61,8.0,118734218.5,100000000.0,145508580.85,362211740.0
2001.0,7.6,346000.0,104.0,16.0,50.0,80.0,82822.56,8.0,74591008.15,17000000.0,47372409.13,209947037.0
2001.0,6.0,53000.0,91.0,18.0,50.0,80.0,82822.56,8.0,74591008.15,17700000.0,109325230.22,30987695.0
2001.0,6.9,109000.0,95.0,13.0,40.0,90.0,30064.61,10.0,36815715.74,120000000.0,239229987.45,186053725.0
2001.0,6.4,111000.0,112.0,19.0,50.0,80.0,82822.56,8.0,74591008.15,48000000.0,145508580.85,85498534.0
2001.0,5.1,15000.0,104.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,34000000.0,44331874.3,19772447.0
2001.0,6.6,55000.0,97.0,17.0,60.0,90.0,102137.26,6.0,87793911.98,5000000.0,44331874.3,295206.0
2001.0,5.9,129000.0,114.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,40000000.0,44331874.3,141069860.0
2001.0,6.5,251000.0,90.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,28000000.0,44331874.3,60780981.0
2001.0,5.9,301000.0,92.0,19.0,50.0,80.0,82822.56,8.0,74591008.15,93000000.0,145508580.85,368780809.0
2001.0,7.6,249000.0,131.0,15.0,60.0,100.0,102137.26,6.0,87793911.98,68000000.0,38930959.49,96976270.0
2001.0,7.2,82000.0,131.0,17.0,70.0,90.0,149101.61,6.0,118734218.5,19800000.0,44331874.3,87754044.0
2001.0,6.5,179000.0,99.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,102000000.0,145508580.85,147080413.0
2001.0,6.2,115000.0,90.0,16.0,40.0,80.0,30064.61,6.0,36815715.74,10000000.0,47372409.13,59371303.0
2001.0,6.4,29000.0,106.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,32000000.0,38930959.49,44102389.0
2001.0,6.1,122000.0,101.0,17.0,70.0,90.0,149101.61,8.0,118734218.5,80000000.0,44331874.3,98376292.0
2001.0,6.1,55000.0,116.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,42000000.0,38930959.49,35402320.0
2001.0,5.5,111000.0,88.0,19.0,60.0,80.0,102137.26,10.0,87793911.98,35000000.0,145508580.85,147934180.0
2001.0,6.4,100000.0,106.0,19.0,60.0,90.0,102137.26,8.0,87793911.98,40000000.0,145508580.85,91753202.0
2001.0,6.7,232000.0,97.0,17.0,70.0,90.0,149101.61,6.0,118734218.5,25000000.0,44331874.3,281995610.0
2001.0,7.6,145000.0,132.0,15.0,50.0,80.0,82822.56,8.0,74591008.15,22000000.0,38930959.49,97818139.0
2001.0,7.0,75000.0,131.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,72000000.0,145508580.85,27642707.0
2001.0,7.1,149000.0,126.0,19.0,70.0,90.0,149101.61,6.0,118734218.5,115000000.0,145508580.85,143049560.0
2001.0,5.8,201000.0,100.0,19.0,40.0,100.0,30064.61,8.0,36815715.74,115000000.0,145508580.85,274703340.0
2001.0,6.4,244000.0,108.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,30000000.0,44331874.3,287553595.0
